name,pressure_Pa_from_file2,propane_Henry_from_file2,|Qst(propane)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction,length_a,length_b,length_c,angle_alpha,angle_beta,angle_gamma
HEDBID_clean-(id_177239),4000000,0.00221249,32.369808,80.7146,90.348,97.0295,102.33,106.78,111.099,113.74,116.285,118.136,0.018596,0.192179,1.89066,21.6195,88.63,108.797,121.404,127.2,130.224,135.399,137.935,138.628,142.577,143.752,143.87,144.679,145.869,145.369,147.781,148.729,148.058,150.084,148.306,149.187,149.374,151.323,152.767,151.409,151.434,3.58661,5.55564,1276.82,612.952,0.5458,10.8981,11.5452,13.4086,69.399,79.959,62.242
HEDBOJ_clean-(id_177240),4000000,0.000240416,23.35113437,9.81856,27.3057,71.9702,97.1115,111.712,122.597,131.169,137.78,140.387,0.00161553,0.0175779,0.169992,1.66761,13.7798,89.2773,141.339,148.427,155.829,157.725,158.672,159.04,159.69,161.299,160.87,160.3,162.36,162.841,162.812,163.439,162.724,163.656,162.962,163.892,167.002,164.406,168.52,169.189,167.552,4.55303,6.12669,1566.11,693.232,0.5588,8.3188,15.8523,21.5884,90,90,90
HEDBUP_clean-(id_177241),4000000,0.000345225,24.63528459,9.72663,28.2416,71.5368,96.2062,111.495,123.165,132.884,137.045,139.776,0.00182478,0.0174074,0.167039,1.71214,13.4786,90.8899,138.791,146.143,153.748,155.631,156.684,157.581,158.144,158.311,159.832,160.912,161.202,160.765,162.594,161.827,162.005,161.857,162.268,164.334,165.267,165.493,166.637,164.183,163.72,4.53553,6.082,1559.62,684.218,0.5574,8.3203,15.8367,21.5047,90,90,90
HEDCAW_clean-(id_177242),4000000,0.00393246,32.47489405,99.2655,212.178,291.576,314.05,330.317,341.754,348.734,362.334,369.434,0.14715,1.53531,13.5684,43.9757,133.354,360.028,405.753,420.465,429.508,433.973,434.835,438.642,442.869,444.445,444.372,443.98,446.519,449.322,447.316,449.405,449.212,449.767,451.467,451.066,453.794,453.522,453.868,454.539,455.069,6.62352,8.17736,1961.34,2090.97,0.6256,15.8085,15.8085,21.0207,85.2861,85.2861,60.5712
HEDCIE_clean-(id_177244),4000000,0.00586118,34.06581169,178.454,204.053,224.347,232.792,243.655,249.463,255.091,259.645,262.106,0.406242,4.25484,34.2407,119.766,218.482,264.854,298.71,304.125,307.225,309.787,314.005,316.355,318.654,317.332,318.382,319.084,321.224,324.002,323.17,318.775,322.088,322.608,324.814,324.32,326.515,326.108,327.469,328.135,325.582,6.25435,6.94357,1661.58,1615.44,0.5918,15.919,18.3307,20.087,65.4842,66.6561,64.2646
HEFDON_clean-(id_177249),4000000,0.000483914,30.14351188,124.667,138.623,165.987,188.894,199.137,206.835,213.289,217.835,222.545,14.0357,48.2415,72.2005,93.9062,133.499,207.224,235.749,238.277,244.297,246.382,247.295,248.746,251.226,249.628,250.482,251.455,256.023,256.224,255.983,258.009,254.238,256.68,256.859,258.939,261.738,262.386,267.116,264.09,268.84,6.30544,9.34267,1290.92,1019.56,0.564,9.9445,18.5391,20.2889,88.904,83.648,86.713
HEFFAB_charged-(id_177250),4000000,0.00189687,36.6244281,119.946,146.874,181.206,210.358,231.112,242.732,251.774,257.6,263.075,3.00398,19.0455,50.9592,84.1894,148.261,231.281,269.369,275.902,277.652,283.399,284.942,287.71,286.975,288.955,289.976,290.453,290.379,292.808,293.449,295.244,295.676,297.898,296.726,297.584,301.481,301.384,303.313,304.897,304.831,5.62921,9.07189,1330.32,1211.14,0.5808,19.834,20.224,20.284,87.48,64.418,82.896
HEFFEF_clean-(id_177251),4000000,0.00168169,39.46375267,116.826,137.303,162.408,191.119,208.973,218.964,226.323,233.959,240.189,8.79725,27.4923,45.6722,71.782,126.273,209.773,257.635,262.789,269.283,271.388,277.019,277.286,281.108,281.537,281.042,283.386,282,283.094,282.988,287.505,284.869,285.014,289.739,287.712,287.532,287.472,291.913,292.532,292.88,8.35297,9.54316,1191.49,1017.3,0.5608,10.006,18.34,20.26,88.72,83.46,86.86
HEFVAR_clean-(id_177252),4000000,0.000141668,37.53075749,26.4533,27.1596,29.1171,30.5345,32.8388,35.4591,39.2125,43.8705,46.483,2.37241,13.3621,24.2373,28.2905,30.9353,33.2198,39.1492,41.4415,42.6024,43.6195,43.9506,45.0828,44.8007,44.7571,45.8181,45.5537,45.7609,46.1121,46.1349,45.6012,46.0066,45.9665,46.0977,46.3195,46.6263,46.3526,46.5068,46.3151,46.3204,3.7824,4.22955,256.239,150.515,0.3872,15.653,16.0791,16.0791,112.323,90.8118,90.8118
HEGCEB_clean-(id_177253),4000000,7.49E-05,23.46421017,92.0427,169.116,195.584,212.617,237.055,260.398,276.656,293.321,301.641,0.00954395,0.0855547,0.862648,8.78589,134.037,257.285,299.571,303.058,305.141,305.755,307.73,308.474,309.806,308.75,308.081,309.163,309.731,309.863,312.043,309.453,309.783,313.534,315.053,315.994,315.619,319.136,319.035,319.138,318.45,4.46656,5.1693,1875.59,1763.26,0.6372,11.868,13.03,7.7113,105.956,94.951,91.584
