name,pressure_Pa_from_file2,propylene_Henry_from_file2,|Qst(propylene)|_from_file2,N2_1,N2_4,N2_18,N2_75,N2_316,N2_1334,N2_5623,N2_23714,N2_100000,Ar_0.001,Ar_0.01,Ar_0.1,Ar_1.0,Ar_10.0,Ar_100.0,Ar_1000.0,Ar_2000.0,Ar_4000.0,Ar_6000.0,Ar_8000.0,Ar_10000.0,Ar_12000.0,Ar_14000.0,Ar_16000.0,Ar_18000.0,Ar_20000.0,Ar_24000.0,Ar_28000.0,Ar_30000.0,Ar_32000.0,Ar_36000.0,Ar_40000.0,Ar_50000.0,Ar_60000.0,Ar_70000.0,Ar_80000.0,Ar_90000.0,Ar_100000.0,pld,lcd,surface_area_m2cm3,surface_area_m2g,void_fraction
COXHON_clean-(id_175152),4000000,1.63E-05,8.430052857,0.030322941,0.100165096,0.471993851,1.940916237,8.821239321,57.98962587,655.8437715,713.7876645,751.7084799,0,0,0.00124274,0.00857493,0.0949456,0.993076,11.1454,24.9207,69.2867,746.823,766.651,777.846,789.576,795.087,803.679,803.387,811.033,816.093,823.576,826.702,824.728,828.203,828.423,839.832,848.322,852.943,852.575,854.665,860.594,8.47314,8.79766,2297.83,3486.15,0.8002
CUKZOY_clean-(id_175205),4000000,0.000795513,33.56903855,150.3013291,150.3660031,150.3685092,150.3669081,150.3720597,150.3720597,150.3720597,150.3720597,150.3720597,11.8744,122.578,147.863,150.094,150.362,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.368,150.372,150.374,150.394,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.372,150.372,4.10064,4.8322,1172.94,923.5,0.5356
DIYKAZ_clean-(id_175500),4000000,0.015425,48.13361069,57.60618392,56.34647237,57.56650607,55.69677765,58.17433209,58.04978091,57.29760531,56.94634659,57.1815739,45.57,55.2878,58.2821,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,58.4214,3.51099,4.37543,376.515,217.879,0.374
DOMDAL_clean-(id_175535),4000000,3.52E-05,18.1402745,8.727002227,21.71706236,39.99574787,58.98158505,96.76165687,149.393494,289.0739239,683.688457,727.4409976,0.00148146,0.0151109,0.149134,1.44255,11.4451,43.038,105.693,138.417,180.163,218.923,265.194,311.406,350.411,396.274,754.773,786.266,790.986,805.35,811.291,814.319,818.066,819.846,827.226,837.439,845.003,844.413,851.209,854.156,852.34,14.4549,18.4338,1341.32,2022.22,0.7914
DUFKAS_clean-(id_175592),4000000,0.000127799,19.67019284,39.17003073,68.89732339,143.2723039,221.1593664,310.9589343,386.2295949,517.0496836,920.473201,964.4029956,0.0255965,0.250112,2.23841,14.3449,43.9882,165.913,356.753,412.343,486.316,537.566,592.379,1024.18,1047.77,1062.51,1073.92,1084.7,1090.47,1098.45,1113.14,1114.89,1108.86,1122.04,1127.09,1136.5,1142.36,1149.36,1156.38,1156.82,1146.45,11.3142,18.3386,1559.27,2944.33,0.811
ECOKAJ_clean-(id_175736),4000000,2.41E-05,9.605272931,1.095959305,4.118168086,20.99261293,86.02804994,246.8582933,426.842268,613.2373668,1628.918238,1739.88055,0,0.00267452,0.0276367,0.268938,2.7604,30.9915,261.012,383.83,496.449,572.176,647.018,723.285,788.096,849.186,912.775,995.563,1937.06,1969.22,1989.38,1989.91,2000.93,2004.68,2033.3,2044.9,2052.12,2074.97,2083.98,2084.34,2100.39,17.5755,18.9972,1156.9,3556.08,0.873
EDUVII_clean-(id_175774),4000000,0.000100902,14.88315429,4.104027404,17.86941782,110.3620193,369.0470657,501.6545493,846.8381069,1217.002561,1310.089911,1350.968967,0.0011725,0.00762122,0.0707894,0.723576,7.50778,122.386,549.478,730.618,1299.53,1419.53,1455.45,1477.63,1494.26,1501.38,1507.4,1519.29,1535.87,1540.57,1549.93,1559.83,1558.21,1564.73,1574.07,1587.93,1598.32,1614.56,1608.18,1612.16,1612.58,9.77849,20.322,1870.75,4451.74,0.8576
EFAYIU_clean-(id_175779),4000000,6.61E-05,13.41367156,4.076353368,16.24162287,55.99030603,172.9702278,568.677614,1013.63313,1116.031323,1167.199416,1219.654474,0.000892176,0.00936785,0.0686976,0.675378,6.72233,58.1043,885.519,1207.99,1275.73,1314.8,1336.48,1363.25,1357.96,1381.71,1388.4,1382.51,1389.77,1410.97,1409.92,1414.71,1419.53,1417.21,1434.97,1455.31,1451.48,1446.99,1460.92,1451.24,1451.63,8.64377,11.5652,2251.34,5192.46,0.8194
EPONAA_clean-(id_175966),4000000,7.02E-06,5.004372227,0.008217589,0.024869039,0.133860308,0.532197483,2.323633452,10.47916513,60.29423305,935.6254397,1016.615472,0,0.000216253,0.000216253,0.00432505,0.0305997,0.336057,3.34705,6.81098,14.416,22.8705,31.7846,41.8966,55.1219,71.8533,96.1205,1069.1,1087.97,1107.47,1121.65,1125.09,1133.75,1142.97,1151.82,1179.3,1183.85,1199.48,1205.6,1215.38,1209.17,8.73453,9.18286,2583.42,5217.09,0.8544
EPONEE_clean-(id_175967),4000000,6.94E-06,4.948409038,0.004757567,0.027247812,0.127805241,0.514681033,2.2209135,9.762504241,59.16539485,941.1666947,1010.993339,0,0,0.000216253,0.00291941,0.0328704,0.317134,3.34121,6.61473,14.2394,22.225,30.5991,40.7396,52.4696,69.52,89.2596,1077.16,1090.89,1110.49,1129.08,1134.11,1138.42,1150.14,1162.37,1177.41,1192.86,1204.08,1219.91,1217.59,1215.13,8.74095,9.19024,2582.15,5239.6,0.8536
